trait_x,trait_y,vc_name,m,var,seV,pve,seP,enrichment,seE,example1-3-2,1x2,2x2,example1-3-2,1x2,2x2,err,example1-3-2,1x2,2x2,err,example1-3-2,1x2,2x2,err
1,1,example1-3-2,1,0.958608,0.164991,0.33122,0.0593233,2.01747,0.336007,0.1129,-0.0747899,-0.0381106,0.027222,-0.0072536,-0.00295094,-0.0158551,0.00200973,-0.000108551,-0.000104556,-0.00102213,3.90053e-05,1.45141e-06,4.8153e-06,5.96926e-06
1,1,1x2,1,-0.279111,0.121377,-0.096439,0.0448917,-0.587412,0.301243,-0.0747899,0.0907472,-0.0159573,-0.0072536,0.0147324,0.002639,-0.000311722,-0.000108045,0.000313029,0.000410406,-8.68933e-05,4.09844e-06,4.96432e-06,-1.35869e-05,-1.46218e-06
1,1,2x2,1,0.745967,0.141268,0.257748,0.0386625,1.56995,0.232525,-0.0381106,-0.0159573,0.0540679,-0.00295094,0.002639,0.0199567,-0.00166505,-0.000102171,0.000406851,-0.000793573,1.46283e-05,5.82274e-06,-1.3182e-05,3.86801e-05,-2.25842e-06
1,1,err,NA,1.46871,0.128327,0.507472,0.0545836,NA,NA,NA,NA,NA,-0.0158551,-0.000311721,-0.00166505,0.0164679,-0.00102234,-8.59831e-05,1.4402e-05,0.000460256,4.9132e-06,4.85487e-07,-1.49658e-06,-2.37684e-05
2,1,example1-3-2,1,0.200659,0.118817,25.0481,400.581,3.83091,3.58047,12.8198,-2.60902,-10.2108,0.00200972,-0.000108045,-0.000102171,-0.00102234,0.0141174,-0.00427731,-0.00136602,-0.00797892,0.00202513,-0.000106338,-0.000148182,-0.00102388
2,1,1x2,1,0.0121347,0.0908705,1.51477,23.1735,0.231671,1.68959,-2.60902,2.8547,-0.245683,-0.000108551,0.000313029,0.000406851,-8.59831e-05,-0.00427731,0.00825745,-0.000214719,2.86781e-05,-0.000105508,0.000258605,0.000560697,-9.48484e-05
2,1,2x2,1,-0.0556567,0.1246,-6.94759,124.076,-1.06258,3.23364,-10.2108,-0.245683,10.4564,-0.000104557,0.000410406,-0.000793573,1.4402e-05,-0.00136602,-0.000214719,0.0155251,-0.00103614,-0.00014143,0.000558927,-0.00134148,3.84253e-05
2,1,err,NA,-0.149126,0.0906605,-18.6153,297.326,NA,NA,NA,NA,NA,-0.00102213,-8.68934e-05,1.46283e-05,0.000460256,-0.00797892,2.86783e-05,-0.00103614,0.00821932,-0.00102474,-9.42093e-05,4.17272e-05,0.000463273
2,2,example1-3-2,1,1.0845,0.171205,0.330978,0.0555906,1.76593,0.284452,0.0809128,-0.0494328,-0.03148,3.90053e-05,4.09844e-06,5.82274e-06,4.91319e-06,0.00202513,-0.000105509,-0.00014143,-0.00102474,0.0293112,-0.010127,-0.00204054,-0.0161043
2,2,1x2,1,-0.632629,0.138131,-0.193072,0.0453743,-1.03014,0.275407,-0.0494328,0.0758489,-0.0264161,1.45141e-06,4.96432e-06,-1.3182e-05,4.85487e-07,-0.000106338,0.000258605,0.000558927,-9.42092e-05,-0.010127,0.0190801,-0.00567973,0.000544154
2,2,2x2,1,1.39049,0.221421,0.424365,0.047062,2.2642,0.240616,-0.03148,-0.0264161,0.0578961,4.8153e-06,-1.35869e-05,3.86801e-05,-1.49658e-06,-0.000148182,0.000560697,-0.00134148,4.17272e-05,-0.00204054,-0.00567973,0.0490274,-0.00273512
2,2,err,NA,1.43428,0.128268,0.43773,0.0492427,NA,NA,NA,NA,NA,5.96927e-06,-1.46218e-06,-2.25842e-06,-2.37684e-05,-0.00102388,-9.48484e-05,3.84253e-05,0.000463273,-0.0161043,0.000544154,-0.00273512,0.0164527
