iid,1,2,3,4,5,6,7,8,9,10,gv1,gv2,gv3,gv4,gv5,gv6,gv7,gv8,gv9,gv10,egv1,egv2,egv3,egv4,egv5,egv6,egv7,egv8,egv9,egv10
1,-0.978795,0.203668,2.1735,1.2394,0.546089,2.53052,-0.384275,0.793845,-0.865524,1.59054,0.0252232,0.558975,0.668136,0.541965,-1.44105,2.07468,0.408107,0.275728,-0.0330286,0.886051,,,,,,,,,,
2,2.04274,2.32111,1.01877,3.50797,-1.25134,1.37428,-1.38869,1.69604,0.00420094,0.661414,0.985705,1.24619,1.30302,2.28044,-1.64535,0.166222,0.95419,0.187782,-1.38233,0.444586,,,,,,,,,,
3,-2.69486,-1.97501,3.92572,0.0314906,-1.77891,-2.99981,-1.10652,0.659728,-2.64314,-1.75492,-0.939618,-0.203315,1.62751,-0.0979641,-0.602201,-3.20853,-0.179399,-8.81316e-05,-1.29397,0.420379,,,,,,,,,,
4,-0.710839,-2.25184,-0.573999,0.358101,-3.23673,-0.60333,0.537942,0.881609,-0.811345,-2.40164,0.468808,-2.25041,0.991451,0.644499,-1.89582,-0.182571,0.129868,-0.465414,0.651411,-0.491491,,,,,,,,,,
5,0.257385,1.12479,-1.12788,1.35286,0.00291395,-0.144473,-1.83137,2.78228,-0.236076,0.67192,0.683994,1.08467,-0.0156645,0.258252,-0.69425,0.339478,-0.263139,-0.0852527,0.831706,0.74887,,,,,,,,,,
6,1.20848,-0.0324218,-2.38355,-1.92618,-1.98304,-0.418088,1.29246,1.18561,-1.49408,-0.0601948,0.640701,0.370576,-1.2127,0.174905,-1.249,0.0263758,0.483405,0.684613,-0.379915,-1.08546,,,,,,,,,,
7,0.31669,0.764084,-2.95629,-0.293002,0.264497,3.42919,1.97787,1.71526,3.35203,-1.37257,0.565261,1.1411,-0.571063,0.0124994,0.702141,0.240156,-0.154683,-0.785378,0.175587,1.04239,,,,,,,,,,
8,-1.89484,0.725634,-0.651738,-3.14177,1.7361,0.385504,-0.837272,-0.51993,-2.09047,-2.02079,0.0159388,0.873279,-0.157609,-1.93677,0.733648,-0.496942,1.0995,1.12352,0.232494,0.235571,,,,,,,,,,
9,-0.408689,1.72804,-0.0613946,-1.60108,1.48589,-0.759054,1.45704,0.145415,0.00736243,-1.05753,-0.29633,0.11715,-1.8132,0.44023,0.409753,-1.97086,0.541453,-0.0299364,0.408663,-1.03561,,,,,,,,,,
10,1.78202,1.00719,1.07543,-1.14031,-0.157071,-1.32485,0.781303,-1.09077,-1.01018,-0.382964,0.0543694,0.198356,-0.981654,0.494126,1.53207,-0.642064,0.780331,-0.397653,-0.805162,-0.329719,,,,,,,,,,
11,1.37762,-0.881319,-2.26775,0.790187,3.13035,-0.514304,-0.968679,0.820246,1.11887,1.03799,1.20709,-0.0578467,-1.52576,-0.719758,1.18396,-1.14776,-0.28526,0.935864,0.370546,0.0362469,,,,,,,,,,
12,0.810037,-0.293914,-0.687627,-0.185763,4.10207,0.571304,-2.4725,-0.00526388,2.89273,3.30437,-0.219179,-1.36495,-2.34442,-1.16745,1.68284,0.438647,-1.59632,0.16053,1.30992,0.0138885,,,,,,,,,,
13,-2.49329,-4.69685,-1.74166,-1.60969,1.1738,-0.878489,1.51843,1.55083,2.5322,-0.0933976,-0.169854,-0.807226,0.41404,-0.403619,-0.289396,0.634915,-0.2127,-0.363596,2.06982,-0.299874,,,,,,,,,,
14,1.10879,2.73671,-0.235043,-3.40958,1.68646,1.86335,-1.04639,-1.4905,-0.349899,-1.27077,1.31906,1.16434,-0.0795818,-0.607691,1.76815,0.135317,1.25029,-0.798937,0.393138,-0.888957,,,,,,,,,,
